City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Rundu,NA,2020-12-23 02:20:09,-17.93,19.77,71.15,73,100,4.43
247,Canutama,BR,2020-12-23 02:20:09,-6.53,-64.38,75.79,95,100,1.81
248,La Sarre,CA,2020-12-23 02:15:55,48.8,-79.2,-3.35,92,0,2.51
249,Garden City,US,2020-12-23 02:20:10,42.33,-83.33,35.6,69,40,5.82
250,Suntar,RU,2020-12-23 02:20:11,62.14,117.63,-21.8,87,100,1.41
251,Rondonopolis,BR,2020-12-23 02:20:11,-16.47,-54.64,76.23,88,96,5.68
252,Terrace,CA,2020-12-23 02:20:11,54.52,-128.6,26.6,100,90,2.24
253,Jumla,NP,2020-12-23 02:20:11,29.27,82.18,40.26,44,32,4.79
254,Sembakung,ID,2020-12-23 02:20:12,3.82,117.25,74.48,98,100,0.63
255,Kemin,KG,2020-12-23 02:20:12,42.78,75.69,24.26,70,99,3.2
256,Sistranda,NO,2020-12-23 02:20:12,63.73,8.83,41.0,93,75,20.8
257,Namie,JP,2020-12-23 02:20:13,37.48,141.0,51.01,48,0,1.01
258,Andenes,NO,2020-12-23 02:20:13,69.31,16.12,36.0,72,100,12.75
259,Ngunguru,NZ,2020-12-23 02:18:18,-35.62,174.5,70.36,69,100,12.84
260,Skibbereen,IE,2020-12-23 02:20:14,51.55,-9.27,37.4,100,90,20.8
261,Gweta,BW,2020-12-23 02:20:14,-20.18,25.23,76.23,69,100,8.75
262,Elbistan,TR,2020-12-23 02:20:15,38.21,37.2,35.42,83,96,2.75
263,Nabire,ID,2020-12-23 02:20:15,-3.37,135.48,79.81,80,100,1.07
264,Hofn,IS,2020-12-23 02:20:15,64.25,-15.21,26.08,84,0,1.72
265,Bereda,ES,2020-12-23 02:20:15,43.27,-7.54,54.0,78,96,11.99
266,Hualmay,PE,2020-12-23 02:20:16,-11.1,-77.61,67.8,85,100,9.71
267,Amga,RU,2020-12-23 02:20:16,60.9,131.96,-42.59,78,91,0.89
268,Riohacha,CO,2020-12-23 02:16:59,11.54,-72.91,78.51,83,65,11.65
269,Deniliquin,AU,2020-12-23 02:16:18,-35.53,144.97,78.01,34,0,9.69
270,Ulaangom,MN,2020-12-23 02:20:18,49.98,92.07,-10.75,85,100,0.47
271,Meulaboh,ID,2020-12-23 02:20:18,4.14,96.13,80.01,82,84,2.44
272,Klaksvik,FO,2020-12-23 02:20:19,62.23,-6.59,35.6,69,100,13.87
273,Rawson,AR,2020-12-23 02:20:19,-43.3,-65.1,64.11,57,32,8.55
274,Fortuna,US,2020-12-23 02:20:20,40.6,-124.16,48.0,81,1,6.93
275,Kizukuri,JP,2020-12-23 02:20:20,40.81,140.39,44.01,81,40,12.75
276,Port-Gentil,GA,2020-12-23 02:20:20,-0.72,8.78,78.22,85,69,9.75
277,Bembereke,BJ,2020-12-23 02:20:21,10.23,2.66,68.13,28,0,3.98
278,Karratha,AU,2020-12-23 02:20:22,-20.74,116.85,95.85,18,37,13.82
279,Hamilton,US,2020-12-23 02:18:54,39.18,-84.53,37.99,64,1,5.82
280,Tasiilaq,GL,2020-12-23 02:20:22,65.61,-37.64,19.4,62,0,2.24
281,Kantunilkin,MX,2020-12-23 02:20:23,21.09,-87.45,75.2,73,20,6.93
282,Baijiantan,CN,2020-12-23 02:20:23,45.63,85.18,8.24,92,91,4.27
283,Acapulco,MX,2020-12-23 02:20:23,16.86,-99.89,80.6,74,20,6.93
284,Lata,PT,2020-12-23 02:20:23,40.16,-8.33,53.01,93,0,4.7
285,Kutum,SD,2020-12-23 02:20:24,14.2,24.67,56.16,35,0,5.55
